learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 14 24793.70321876347 25334.882758680058 23.069867610931396 5642 10 13
1e-06 14 17618.842823633327 12703.504149761658 21.671801567077637 6668 12 15
1e-06 14 26698.55208672924 26981.355877170656 20.724541425704956 10259 19 3
1e-06 14 22967.158219722194 30067.547474819763 20.78970432281494 8207 15 5
1e-06 14 7806.096427244756 6599.566529853346 21.81508731842041 8207 15 13
1e-06 14 23812.211097868345 29665.433435926097 20.147541284561157 7181 13 13
1e-06 14 27326.44537228916 27514.563762305086 20.177796125411987 8207 15 5
1e-06 14 26105.782388244792 28321.735867336276 20.777084589004517 10772 20 3
1e-06 14 25086.21719280544 20991.761791160025 21.956859588623047 8207 15 11
1e-06 14 26613.33770166582 22665.227480254805 20.91006088256836 11285 21 3
1e-06 15 24807.12230415901 25350.20935028945 20.893161296844482 6668 12 9
1e-06 15 7719.9453752731715 4870.657749704657 21.381839275360107 8207 15 9
1e-06 15 10703.166501283586 10677.243808632404 20.24148440361023 7181 13 9
1e-06 15 8182.236150697262 11769.083983805545 20.749540090560913 7694 14 9
1e-06 15 24839.588278320913 22424.241251669227 20.880112886428833 6668 12 9
1e-06 15 26973.816030150752 33340.30090909091 20.264233589172363 23084 44 1
1e-06 15 26691.031020947623 26868.581284215787 20.10503840446472 10259 19 3
1e-06 15 26392.86706252671 28608.880389315393 21.821164846420288 6668 12 13
1e-06 15 28024.26443374874 23607.850483999995 20.054893970489502 21545 41 1
1e-06 15 25827.92986360725 21944.716275308198 21.40417194366455 8207 15 9
1e-06 16 26835.20544404477 27396.53311095583 20.017901182174683 10259 19 3
1e-06 16 25106.0796356129 19247.40261447611 22.155282497406006 6668 12 7
1e-06 16 22628.67205476014 22848.942174942425 21.09422206878662 8720 16 9
1e-06 16 23371.46888008224 30539.427485006614 20.75823450088501 6155 11 13
1e-06 16 27993.973309025125 25439.73921309091 20.23879361152649 21032 40 1
1e-06 16 25704.72876234622 31870.373844657395 20.241293907165527 8207 15 3
1e-06 16 27298.865941025877 27485.26593859646 20.747851610183716 10259 19 3
1e-06 16 27446.96868337186 29661.31912718182 20.357887983322144 21545 41 1
1e-06 16 19981.649967637695 16512.221273340638 20.06179189682007 6155 11 9
1e-06 16 24538.097459937097 20762.17508393558 20.03132939338684 6668 12 5
1e-06 17 6751.1690396933245 7030.048493039836 21.191718101501465 6668 12 9
1e-06 17 6965.948761050246 4450.411417366764 21.348544359207153 6155 11 9
1e-06 17 26498.693088008342 26778.577892755835 20.151727199554443 9233 17 3
